Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,Difference,Difference,Difference,Difference,Difference,Difference
D36,SMAJ12CA-TR,TopLayer,FP-SMA-CA-MFG,125.7000,127.3250,90,TVS DIODE 12V 25.3V SMA,0.20824830590135965,0.20824830590135965,0.20824830590135965,0.20824830590135965,0.20824830590135965,0.20824830590135965
R40,Resistor 0R +/- 5% 0805 125 mW,TopLayer,RESC2013X60X35ML10T20,54.5020,103.9845,180,"Chip Resistor, 0 Ohm, 0.125 W, -55 to 155 degC, 0805 (2012 Metric)",0.1246190894882201,0.1246190894882201,0.1246190894882201,0.1246190894882201,0.1246190894882201,0.1246190894882201
D47,SMAJ12CA-TR,TopLayer,FP-SMA-CA-MFG,13.5000,108.9000,0,TVS DIODE 12V 25.3V SMA,0.23267912836443982,0.23267912836443982,0.23267912836443982,0.23267912836443982,0.23267912836443982,0.23267912836443982
D46,CDSOT23-SM712,TopLayer,FP-SOT23-MFG,29.3250,10.7000,90,TVS DIODE 7V/12V 14V/26V SOT23-3,0.10336327714853571,0.10336327714853571,0.10336327714853571,0.10336327714853571,0.10336327714853571,0.10336327714853571
D45,CDSOT23-SM712,TopLayer,FP-SOT23-MFG,24.0750,10.7000,90,TVS DIODE 7V/12V 14V/26V SOT23-3,0.14782170054896804,0.14782170054896804,0.14782170054896804,0.14782170054896804,0.14782170054896804,0.14782170054896804
D44,CDSOT23-SM712,TopLayer,FP-SOT23-MFG,73.1250,10.5250,90,TVS DIODE 7V/12V 14V/26V SOT23-3,0.06628345449593621,0.06628345449593621,0.06628345449593621,0.06628345449593621,0.06628345449593621,0.06628345449593621
D43,CDSOT23-SM712,TopLayer,FP-SOT23-MFG,43.0500,11.7500,90,TVS DIODE 7V/12V 14V/26V SOT23-3,0.10922012373437255,0.10922012373437255,0.10922012373437255,0.10922012373437255,0.10922012373437255,0.10922012373437255
D42,CDSOT23-SM712,TopLayer,FP-SOT23-MFG,49.2750,11.7500,90,TVS DIODE 7V/12V 14V/26V SOT23-3,0.089613084546059,0.089613084546059,0.089613084546059,0.089613084546059,0.089613084546059,0.089613084546059
D41,CDSOT23-SM712,TopLayer,FP-SOT23-MFG,68.8000,10.5250,90,TVS DIODE 7V/12V 14V/26V SOT23-3,0.04759044215245207,0.04759044215245207,0.04759044215245207,0.04759044215245207,0.04759044215245207,0.04759044215245207
D40,CDSOT23-SM712,TopLayer,FP-SOT23-MFG,62.8750,10.5250,90,TVS DIODE 7V/12V 14V/26V SOT23-3,0.10365152366379016,0.10365152366379016,0.10365152366379016,0.10365152366379016,0.10365152366379016,0.10365152366379016
R142,10k_603,TopLayer,RESC1608X55X25ML10T15,133.8916,74.7500,180,RC0603JR-070RL,0.11021492446084519,0.11021492446084519,0.11021492446084519,0.11021492446084519,0.11021492446084519,0.11021492446084519
R141,0R_603,TopLayer,RESC1608X55X25ML10T15,102.1000,75.7000,270,RC0603JR-070RL,0.03613492248434993,0.03613492248434993,0.03613492248434993,0.03613492248434993,0.03613492248434993,0.03613492248434993
